city2,04/06/20
Beverly Hills,65
Burbank,77
Carson,93
Downey,71
Glendale,142
Inglewood,78
Lancaster,61
Redondo Beach,67
Santa Clarita,106
Santa Monica,74
South Gate,58
Torrance,92
West Hollywood,86
Hollywood,100
Melrose,147
North Hollywood,90
Sherman Oaks,57
Silverlake,58
Sylmar,70
