,city,"April 06, 2020_x","April 05, 2020","April 04, 2020","April 03, 2020","April 02, 2020","April 01, 2020","March 31, 2020","March 30, 2020","March 29, 2020","March 28, 2020","March 27, 2020",city2,"March 26, 2020","March 25, 2020","March 24, 2020","March 23, 2020","March 22, 2020"
305,Unincorporated - Rosewood/West Rancho Dominguez,0,0,0,0,0,0,0,0,0,0,0,Rosewood/West Rancho Dominguez,,,,,
306,Unincorporated - Rowland Heights,8,8,8,7,6,5,3,3,3,1,1,Rowland Heights,,,,,
307,Unincorporated - San Clemente Island,0,0,0,0,0,0,0,0,0,0,,San Clemente Island,,,,,
308,Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0,0,0,0,0,0,0,0,0,,San Francisquito Canyon/Bouquet Canyon,,,,,
309,Unincorporated - San Jose Hills,0,0,0,0,0,0,0,0,0,0,0,San Jose Hills,,,,,
310,Unincorporated - San Pasqual,0,0,0,0,0,0,0,0,0,0,0,San Pasqual,,,,,
311,Unincorporated - Sand Canyon,0,0,0,0,0,0,0,0,0,0,0,Sand Canyon,,,,,
312,Unincorporated - Santa Catalina Island,0,0,0,0,0,0,0,0,0,0,0,Santa Catalina Island,,,,,
313,Unincorporated - Santa Monica Mountains,5,5,0,0,0,0,0,0,0,0,0,Santa Monica Mountains,4,3,2,2,2
314,Unincorporated - Saugus,0,0,0,0,0,0,0,0,0,0,0,Saugus,,,,,
315,Unincorporated - Saugus/Canyon Country,0,0,0,0,0,0,0,0,0,0,0,Saugus/Canyon Country,,,,,
316,Unincorporated - South Antelope Valley,0,0,0,0,0,0,0,0,0,0,0,South Antelope Valley,,,,,
317,Unincorporated - South Edwards,0,0,0,0,0,0,0,0,0,0,,South Edwards,,,,,
318,Unincorporated - South El Monte,0,0,0,0,0,0,0,0,0,0,0,South El Monte,4,3,1,1,1
319,Unincorporated - South San Gabriel,6,5,5,5,5,5,0,0,0,0,0,South San Gabriel,,,,,
320,Unincorporated - South Whittier,17,15,13,11,9,8,7,5,5,5,3,South Whittier,4,3,2,2,1
321,Unincorporated - Southeast Antelope Valley,0,0,0,0,0,0,0,0,0,0,0,Southeast Antelope Valley,,,,,
322,Unincorporated - Stevenson Ranch,8,7,7,6,5,0,0,0,0,0,0,Stevenson Ranch,3,2,2,2,1
323,Unincorporated - Sun Village,0,0,0,0,0,0,0,0,0,0,0,Sun Village,,,,,
324,Unincorporated - Sunrise Village,0,0,0,0,0,0,0,0,0,0,0,Sunrise Village,,,,,
325,Unincorporated - Twin Lakes/Oat Mountain,0,0,0,0,0,0,0,0,0,0,0,Twin Lakes/Oat Mountain,,,,,
326,Unincorporated - Universal City,0,0,0,0,0,0,0,0,0,0,,Universal City,,,,,
327,Unincorporated - Val Verde,0,0,0,0,0,0,0,0,0,0,0,Val Verde,,,,,
328,Unincorporated - Valencia,0,0,0,0,0,0,0,0,0,0,0,Valencia,,,,,
329,Unincorporated - Valinda,7,6,5,0,0,0,0,0,0,0,0,Valinda,1,1,,,
330,Unincorporated - View Park/Windsor Hills,13,12,11,8,7,7,0,0,0,0,0,View Park/Windsor Hills,,,,,
331,Unincorporated - Walnut,0,0,0,0,0,0,0,0,0,0,,Walnut,1,1,1,1,1
332,Unincorporated - Walnut Park,8,7,0,0,0,0,0,0,0,0,0,Walnut Park,,,,,
333,Unincorporated - West Antelope Valley,0,0,0,0,0,0,0,0,0,0,0,West Antelope Valley,,,,,
334,Unincorporated - West Carson,20,20,18,15,11,11,9,8,7,6,5,West Carson,,,,,
335,Unincorporated - West Chatsworth,0,0,0,0,0,0,0,0,0,0,,West Chatsworth,,,,,
336,Unincorporated - West LA,0,0,17,11,0,0,0,0,0,0,0,West LA,,,,,
337,Unincorporated - West Puente Valley,0,0,0,0,0,0,0,0,0,0,0,West Puente Valley,,,,,
338,Unincorporated - West Rancho Dominguez,0,0,0,0,0,0,0,0,0,0,0,West Rancho Dominguez,,,,,
339,Unincorporated - West Whittier/Los Nietos,8,8,7,3,2,1,0,0,0,0,0,West Whittier/Los Nietos,1,,,,
340,Unincorporated - Westfield/Academy Hills,0,0,0,0,0,0,0,0,0,0,0,Westfield/Academy Hills,,,,,
341,Unincorporated - Westhills,0,0,0,0,0,0,0,0,0,0,0,Westhills,,,,,
342,Unincorporated - White Fence Farms,0,0,0,0,0,0,0,0,0,0,0,White Fence Farms,,,,,
343,Unincorporated - Whittier,0,0,0,0,0,0,0,0,0,0,0,Whittier,3,3,3,2,2
344,Unincorporated - Whittier Narrows,0,0,0,0,0,0,0,0,0,0,,Whittier Narrows,,,,,
345,Unincorporated - Willowbrook,14,12,10,8,6,5,2,2,1,1,1,Willowbrook,1,1,1,,
346,Unincorporated - Wiseburn,0,0,0,0,0,0,0,0,0,0,0,Wiseburn,,,,,
347,-  Under Investigation,599,614,606,518,505,394,309,222,184,154,143,-  Under Investigation,141,56,62,61,38
