,city,"April 06, 2020_x","April 05, 2020","April 04, 2020","April 03, 2020","April 02, 2020","April 01, 2020","March 31, 2020","March 30, 2020","March 29, 2020","March 28, 2020","March 27, 2020",city2,"March 26, 2020","March 25, 2020","March 24, 2020","March 23, 2020","March 22, 2020"
150,Los Angeles - Little Tokyo,0,0,0,0,0,0,0,0,0,0,0,Little Tokyo,,,,,
151,Los Angeles - Longwood,0,0,0,0,0,0,0,0,0,0,0,Longwood,,,,,
152,Los Angeles - Los Feliz,19,19,19,19,16,14,13,11,8,5,6,Los Feliz,5,3,2,2,1
153,Los Angeles - Manchester Square,0,0,0,0,0,0,0,0,0,0,0,Manchester Square,,,,,
154,Los Angeles - Mandeville Canyon,0,0,0,0,0,0,0,0,0,0,0,Mandeville Canyon,,,,,
155,Los Angeles - Mar Vista,26,25,24,23,21,18,13,13,9,8,8,Mar Vista,8,6,6,6,5
156,Los Angeles - Marina Peninsula,7,6,6,6,6,6,0,0,0,0,0,Marina Peninsula,,,,,
157,Los Angeles - Melrose,147,140,129,121,113,104,100,82,71,56,49,Melrose,47,33,26,19,17
158,Los Angeles - Mid-city,22,21,17,16,14,13,11,10,9,8,8,Mid-city,,,,,
159,Los Angeles - Miracle Mile,17,17,15,13,12,12,12,10,9,8,7,Miracle Mile,13,8,7,5,4
160,Los Angeles - Mission Hills,12,12,11,8,6,6,6,6,5,5,0,Mission Hills,,,,,
161,Los Angeles - Mt. Washington,9,8,8,6,0,0,0,0,0,0,0,Mt. Washington,3,2,1,,
162,Los Angeles - North Hills,28,22,21,16,13,11,9,7,6,2,1,North Hills,1,,,,
163,Los Angeles - North Hollywood,90,91,86,67,57,45,39,34,30,26,18,North Hollywood,15,11,10,9,5
164,Los Angeles - Northridge,22,23,21,17,14,12,9,8,8,8,7,Northridge,4,2,2,1,1
165,Los Angeles - Pacific Palisades,26,26,26,25,24,23,22,18,15,11,10,Pacific Palisades,12,9,9,8,7
166,Los Angeles - Pacoima,31,30,22,16,8,7,5,4,3,3,2,Pacoima,1,,,,
167,Los Angeles - Palisades Highlands,0,0,0,0,0,0,0,0,0,0,0,Palisades Highlands,,,,,
168,Los Angeles - Palms,46,41,39,33,28,27,25,21,20,15,12,Palms,10,8,6,2,1
169,Los Angeles - Panorama City,38,33,27,19,16,11,7,7,6,4,4,Panorama City,4,1,,,
170,Los Angeles - Park La Brea,9,8,6,6,6,5,0,0,0,0,0,Park La Brea,8,8,8,6,4
171,Los Angeles - Pico-Union,24,21,16,13,9,9,7,5,4,4,5,Pico-Union,,,,,
172,Los Angeles - Playa Del Rey,0,0,0,0,0,0,0,0,0,0,0,Playa Del Rey,,,,,
173,Los Angeles - Playa Vista,10,8,8,8,7,7,7,5,5,5,5,Playa Vista,8,5,4,3,2
174,Los Angeles - Porter Ranch,20,21,16,12,12,8,8,6,6,3,2,Porter Ranch,2,1,1,,
175,Los Angeles - Rancho Park,8,7,6,5,0,0,0,0,0,0,0,Rancho Park,,,,,
176,Los Angeles - Regent Square,0,0,0,0,0,0,0,0,0,0,0,Regent Square,,,,,
177,Los Angeles - Reseda,43,38,34,25,21,20,20,20,13,11,8,Reseda,8,5,4,3,2
178,Los Angeles - Reseda Ranch,0,0,0,0,0,0,0,0,0,0,0,Reseda Ranch,,,,,
179,Los Angeles - Reynier Village,0,0,0,0,0,0,0,0,0,0,0,Reynier Village,,,,,
180,Los Angeles - San Pedro,31,26,25,25,19,14,14,11,10,9,8,San Pedro,5,4,2,2,1
181,Los Angeles - Shadow Hills,5,5,5,5,5,0,0,0,0,0,0,Shadow Hills,,,,,
182,Los Angeles - Sherman Oaks,57,56,52,46,43,37,33,32,27,25,21,Sherman Oaks,17,12,10,8,7
183,Los Angeles - Silverlake,58,55,46,38,25,25,20,18,16,14,12,Silverlake,11,6,5,4,3
184,Los Angeles - South Carthay,19,20,17,17,14,9,8,8,6,5,5,South Carthay,,,,,
185,Los Angeles - South Park,23,22,17,15,12,11,5,4,4,4,3,South Park,2,1,1,1,
186,Los Angeles - St Elmo Village,0,0,0,0,0,0,0,0,0,0,0,St Elmo Village,,,,,
187,Los Angeles - Studio City,21,21,19,19,19,19,18,15,14,10,10,Studio City,11,7,7,7,4
188,Los Angeles - Sun Valley,22,18,13,11,10,9,8,6,6,5,3,Sun Valley,2,2,2,2,1
189,Los Angeles - Sunland,14,13,10,10,9,8,5,0,0,0,0,Sunland,1,1,1,1,1
190,Los Angeles - Sycamore Square,0,0,0,0,0,0,0,0,0,0,0,Sycamore Square,,,,,
191,Los Angeles - Sylmar,70,61,52,42,35,30,25,18,15,8,4,Sylmar,2,1,1,1,1
192,Los Angeles - Tarzana,37,37,33,30,29,29,26,24,23,19,17,Tarzana,14,9,9,8,8
193,Los Angeles - Temple-Beaudry,27,24,18,15,12,11,10,8,5,5,5,Temple-Beaudry,,,,,
194,Los Angeles - Thai Town,5,5,5,0,0,0,0,0,0,0,0,Thai Town,,,,,
195,Los Angeles - Toluca Lake,6,6,6,5,0,0,0,0,0,0,0,Toluca Lake,,,,,
196,Los Angeles - Toluca Terrace,0,0,0,0,0,0,0,0,0,0,0,Toluca Terrace,,,,,
197,Los Angeles - Toluca Woods,0,0,0,0,0,0,0,0,0,0,0,Toluca Woods,,,,,
198,Los Angeles - Tujunga,12,10,8,7,5,5,5,4,3,2,2,Tujunga,2,1,1,1,1
199,Los Angeles - University Hills,0,0,0,0,0,0,0,0,0,0,0,University Hills,,,,,
200,Los Angeles - University Park,17,16,15,16,15,14,12,6,5,5,4,University Park,6,4,1,1,1
201,Los Angeles - Valley Glen,25,21,17,12,11,8,7,4,4,3,2,Valley Glen,12,11,9,7,6
202,Los Angeles - Valley Village,30,30,29,27,23,23,21,19,18,14,13,Valley Village,,,,,
203,Los Angeles - Van Nuys,38,36,33,26,22,17,13,10,7,6,4,Van Nuys,4,4,4,4,2
204,Los Angeles - Venice,26,25,20,20,20,18,18,18,17,13,11,Venice,11,9,8,7,7
205,Los Angeles - Vermont Knolls,13,12,10,7,7,5,0,0,0,0,0,Vermont Knolls,3,1,1,1,1
206,Los Angeles - Vermont Square,7,6,5,5,5,0,0,0,0,0,0,Vermont Square,,,,,
207,Los Angeles - Vermont Vista,14,14,11,8,7,7,6,5,5,3,2,Vermont Vista,5,3,3,1,1
208,Los Angeles - Vernon Central,22,21,15,8,7,5,5,4,3,3,3,Vernon Central,1,1,1,1,1
209,Los Angeles - Victoria Park,13,11,9,7,6,0,0,0,0,0,0,Victoria Park,,,,,
210,Los Angeles - View Heights,0,0,0,0,0,0,0,0,0,0,0,View Heights,,,,,
211,Los Angeles - Watts,16,15,14,12,11,7,7,2,2,1,1,Watts,1,1,,,
212,Los Angeles - Wellington Square,0,0,0,0,0,0,0,0,0,0,0,Wellington Square,,,,,
213,Los Angeles - West Adams,25,21,20,16,15,14,12,9,7,7,6,West Adams,6,4,3,1,1
214,Los Angeles - West Hills,18,18,15,12,11,10,10,7,6,5,5,West Hills,4,4,4,4,4
215,Los Angeles - West Los Angeles,31,29,27,25,24,22,20,19,18,13,9,West Los Angeles,5,4,4,4,3
216,Los Angeles - West Vernon,33,27,26,22,17,15,13,9,8,8,6,West Vernon,6,5,4,2,2
217,Los Angeles - Westchester,25,24,23,22,18,18,17,17,17,12,8,Westchester,7,5,3,3,3
218,Los Angeles - Westlake,34,31,27,23,20,13,10,7,5,2,1,Westlake,1,1,1,1,1
219,Los Angeles - Westwood,27,27,27,27,25,26,28,26,22,17,16,Westwood,11,9,6,6,5
220,Los Angeles - Wholesale District,14,12,13,13,12,10,10,10,12,11,8,Wholesale District,6,4,1,,
221,Los Angeles - Wilmington,20,19,19,16,13,13,12,10,10,7,5,Wilmington,5,4,4,3,1
222,Los Angeles - Wilshire Center,27,23,19,17,15,12,8,8,5,4,4,Wilshire Center,2,2,1,1,
223,Los Angeles - Winnetka,35,29,25,18,15,11,10,9,9,8,3,Winnetka,5,3,2,1,1
224,Los Angeles - Woodland Hills,53,47,43,36,33,29,25,22,19,18,14,Woodland Hills,13,11,8,7,5
225,Unincorporated - Acton,0,0,0,0,0,0,0,0,0,0,0,Acton,,,,,
226,Unincorporated - Agua Dulce,0,0,0,0,0,0,0,0,0,0,0,Agua Dulce,,,,,
227,Unincorporated - Altadena,26,25,18,16,16,14,12,10,10,10,9,Altadena,6,5,5,5,3
228,Unincorporated - Anaverde,0,0,0,0,0,0,0,0,0,0,0,Anaverde,,,,,
229,Unincorporated - Angeles National Forest,0,0,0,0,0,0,0,0,0,0,0,Angeles National Forest,,,,,
230,Unincorporated - Arcadia,0,0,0,0,0,0,0,0,0,0,0,Arcadia,6,4,4,3,2
231,Unincorporated - Athens-Westmont,23,22,22,17,15,13,11,7,7,7,5,Athens-Westmont,,,,,
232,Unincorporated - Athens Village,0,0,0,0,0,0,0,0,0,0,0,Athens Village,,,,,
233,Unincorporated - Avocado Heights,0,0,0,0,0,0,0,0,0,0,0,Avocado Heights,,,,,
234,Unincorporated - Azusa,0,0,0,0,0,0,0,0,0,0,0,Azusa,1,,,,
235,Unincorporated - Bandini Islands,0,0,0,0,0,0,0,0,0,0,,Bandini Islands,,,,,
236,Unincorporated - Bassett,0,0,0,0,0,0,0,0,0,0,0,Bassett,,,,,
237,Unincorporated - Bouquet Canyon,0,0,0,0,0,0,0,0,0,0,0,Bouquet Canyon,,,,,
238,Unincorporated - Bradbury,0,0,0,0,0,0,0,0,0,0,0,Bradbury,,,,,
239,Unincorporated - Canyon Country,8,8,7,5,0,0,0,0,0,0,0,Canyon Country,1,1,1,,
240,Unincorporated - Castaic,6,5,5,4,4,3,3,3,4,4,3,Castaic,2,2,2,1,1
241,Unincorporated - Cerritos,0,0,0,0,0,0,0,0,0,0,0,Cerritos,2,2,2,2,2
242,Unincorporated - Charter Oak,0,0,0,0,0,0,0,0,0,0,,Charter Oak,,,,,
243,Unincorporated - Claremont,0,0,0,0,0,0,0,0,0,0,0,Claremont,1,1,1,,
244,Unincorporated - Covina,12,10,9,6,6,0,0,0,0,0,0,Covina,4,3,3,1,1
245,Unincorporated - Covina (Charter Oak),5,0,0,0,0,0,0,0,0,0,0,Covina (Charter Oak),,,,,
246,Unincorporated - Del Aire,5,0,0,0,0,0,0,0,0,0,0,Del Aire,,,,,
