city,"April 09, 2020","April 08, 2020","April 07, 2020","April 06, 2020","April 05, 2020","April 04, 2020","April 03, 2020","April 02, 2020","April 01, 2020","March 31, 2020","March 30, 2020","March 29, 2020","March 28, 2020","March 27, 2020",city2,"March 26, 2020","March 25, 2020","March 24, 2020","March 23, 2020","March 22, 2020",Density
City of Hermosa Beach,17,18,18,18,17,17,17,15,12,9,7,6,--,--,Hermosa Beach,,,,,,86.43
City of Hidden Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hidden Hills,,,,,,0
City of Huntington Park,38,36,33,29,26,20,16,15,13,11,4,2,2,0,Huntington Park,,,,,,63.88
City of Industry,--,--,--,--,--,0,0,0,0,0,0,0,0,0,Industry,,,,,,--
City of Inglewood,99,92,85,78,69,62,55,44,37,31,26,20,14,12,Inglewood,12,5,5,3,3,87.16
City of Irwindale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Irwindale,,,,,,0
City of La Canada Flintridge,16,16,16,14,14,11,9,8,8,8,8,7,7,5,La Canada Flintridge,6,3,2,2,1,77.32
City of La Habra Heights,--,--,0,0,0,0,0,0,0,0,0,0,0,--,La Habra Heights,,,,,,--
City of La Mirada,19,17,16,16,15,13,11,11,9,8,7,7,6,5,La Mirada,5,4,3,3,3,38.31
City of La Puente,15,14,14,13,12,11,8,7,6,3,3,3,2,1,La Puente,1,,1,,,36.86
City of La Verne,8,7,7,7,7,4,2,2,2,2,2,1,1,1,La Verne,2,2,2,2,2,24.04
City of Lakewood,37,37,36,32,29,28,24,21,18,16,13,12,11,8,Lakewood,7,4,3,1,1,46.04
City of Lancaster,74,73,64,61,51,43,38,33,32,31,27,23,19,18,Lancaster,16,13,8,7,4,45.8
City of Lawndale,22,22,20,16,13,10,10,8,7,6,4,4,3,2,Lawndale,2,1,2,2,1,65.45
City of Lomita,17,13,13,11,9,7,6,--,--,--,--,--,--,0,Lomita,12,9,9,8,8,82.01
City of Lynwood,58,51,47,43,37,28,23,21,20,18,16,14,13,8,Lynwood,6,3,2,2,2,80.5
City of Malibu,10,10,9,9,8,8,7,5,--,--,--,--,--,--,Malibu,,,,,,77.15
City of Manhattan Beach,52,52,51,48,46,46,45,43,41,40,31,27,23,22,Manhattan Beach,21,17,11,9,7,144.45
City of Maywood,25,20,20,17,15,14,10,10,8,6,5,4,2,1,Maywood,1,,,,,89.13
City of Monrovia,12,13,13,12,11,9,8,7,7,5,4,4,4,4,Monrovia,2,,,,,30.93
City of Montebello,39,30,27,20,17,11,10,9,7,5,4,4,3,2,Montebello,1,,,,,60.58
City of Monterey Park,28,23,21,19,15,15,12,11,9,7,5,5,5,4,Monterey Park,4,4,3,3,3,44.97
City of Norwalk,64,58,55,50,49,38,30,26,21,21,15,12,12,9,Norwalk,9,2,1,,,59.47
City of Palmdale,77,65,53,46,37,31,27,20,18,14,9,7,6,4,Palmdale,2,2,2,1,,48.44
City of Palos Verdes Estates,31,30,28,25,23,21,19,18,15,14,14,14,14,12,Palos Verdes Estates,,,,,,229.26
City of Paramount,34,28,27,26,23,19,17,13,10,8,7,6,5,5,Paramount,4,3,2,2,1,60.69
City of Pico Rivera,49,43,39,32,31,27,17,15,14,9,6,5,5,2,Pico Rivera,2,1,1,,,76.22
City of Pomona,43,40,35,30,24,24,22,15,13,10,5,4,4,4,Pomona,3,1,,,,27.58
City of Rancho Palos Verdes,35,35,34,33,28,27,22,20,16,13,10,8,8,7,Rancho Palos Verdes,6,5,3,1,1,81.88
City of Redondo Beach,78,73,68,67,64,62,60,54,50,39,34,29,24,23,Redondo Beach,20,9,7,5,4,113.54
City of Rolling Hills,--,--,--,--,--,0,0,0,0,0,0,0,0,0,Rolling Hills,,,,,,--
City of Rolling Hills Estates,8,8,8,8,8,7,5,5,--,--,--,--,--,--,Rolling Hills Estates,,,,,,98.61
City of Rosemead,11,10,10,9,8,6,5,3,3,2,2,2,1,0,Rosemead,,,,,,19.87
City of San Dimas,17,15,14,13,9,7,6,6,5,4,3,3,2,1,San Dimas,1,1,1,1,1,49.25
City of San Fernando,17,16,12,12,9,8,6,5,5,--,--,--,0,0,San Fernando,3,3,2,1,1,69.07
City of San Gabriel,12,12,13,11,10,7,7,7,6,6,6,6,6,5,San Gabriel,3,1,1,,,29.3
City of San Marino,5,5,5,5,5,5,--,--,--,--,--,--,--,--,San Marino,,,,,,37.66
City of Santa Clarita,126,122,112,106,102,89,78,65,50,48,41,38,32,24,Santa Clarita,16,10,7,7,4,57.16
City of Santa Fe Springs,--,--,--,--,--,--,--,--,--,--,0,0,0,0,Santa Fe Springs,,,,,,--
City of Santa Monica,82,81,77,74,68,65,62,56,53,49,47,41,38,28,Santa Monica,21,18,16,12,7,88.7
City of Sierra Madre,--,--,--,--,--,--,--,--,--,--,0,0,0,0,Sierra Madre,,,,,,--
City of Signal Hill,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Signal Hill,,,,,,--
City of South El Monte,--,--,--,--,--,--,--,0,0,0,0,0,0,0,South El Monte,4,3,1,1,1,--
City of South Gate,79,76,69,58,52,42,35,30,25,19,14,12,11,4,South Gate,4,2,1,1,1,80.48
City of South Pasadena,12,11,11,10,10,9,7,7,7,6,5,5,3,3,South Pasadena,4,3,3,3,3,46.06
City of Temple City,11,11,11,11,9,5,3,1,1,1,1,2,1,0,Temple City,,,,,,30.17
City of Torrance,121,111,101,92,86,85,76,69,63,53,43,34,32,21,Torrance,14,9,5,4,3,81.06
City of Vernon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vernon,,,,,,0
City of Walnut,11,10,9,9,8,7,6,4,4,3,3,3,2,1,Walnut,1,1,1,1,1,36.03
City of West Covina,20,17,16,15,12,9,8,7,7,7,7,6,5,5,West Covina,4,2,1,1,1,18.48
City of West Hollywood,101,98,96,86,83,81,73,68,64,56,53,52,50,42,West Hollywood,35,31,31,23,19,273.33
City of Westlake Village,5,5,--,--,--,--,--,--,--,--,0,0,0,0,Westlake Village,,,,,,59.81
City of Whittier,40,32,30,25,23,21,16,16,15,12,8,8,6,4,Whittier,3,3,3,2,2,45.75
Los Angeles,3587,3360,3130,2851,2659,2361,2047,1787,1580,1386,1171,1020,,,Los Angeles,,,,,,88.69
Los Angeles - Adams-Normandie,15,15,13,13,13,11,12,8,8,5,--,--,--,--,Adams-Normandie,,,,,,182.88
Los Angeles - Alsace,5,5,--,--,--,--,--,--,--,--,--,--,--,--,Alsace,,,,,,40.18
Los Angeles - Angeles National Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,,Angeles National Forest,,,,,,
Los Angeles - Angelino Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angelino Heights,,,,,,0
Los Angeles - Arleta,22,20,20,17,15,13,10,7,7,7,5,5,4,2,Arleta,2,1,,,,64.01
Los Angeles - Atwater Village,9,9,8,7,6,--,--,--,--,--,--,--,--,0,Atwater Village,,,,,,61.37
Los Angeles - Baldwin Hills,27,26,24,21,20,18,14,13,13,11,9,9,7,5,Baldwin Hills,4,3,3,3,3,86.75
Los Angeles - Bel Air,21,20,20,18,18,15,13,12,12,11,9,9,8,6,Bel Air,,,,,,249.14
Los Angeles - Beverly Crest,26,26,26,25,25,24,23,23,22,20,19,18,17,14,Beverly Crest,,,,,,207.58
Los Angeles - Beverlywood,19,19,18,17,17,16,16,15,15,13,11,11,10,8,Beverlywood,10,8,7,7,6,144.23
Los Angeles - Boyle Heights,50,47,42,40,37,36,28,20,15,11,11,10,8,8,Boyle Heights,7,5,5,5,5,57.55
Los Angeles - Brentwood,53,52,49,49,49,46,44,42,39,36,34,33,31,30,Brentwood,42,34,31,27,23,171.22
Los Angeles - Brookside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brookside,,,,,,0
Los Angeles - Cadillac-Corning,--,--,--,--,--,--,--,--,--,--,--,0,0,0,Cadillac-Corning,,,,,,--
Los Angeles - Canoga Park,59,53,46,39,32,29,20,16,10,7,4,3,3,2,Canoga Park,3,2,2,2,1,90.37
Los Angeles - Carthay,27,28,27,28,26,24,24,17,17,16,15,13,9,7,Carthay,,,,,,187.98
Los Angeles - Central,35,32,33,24,24,20,18,16,13,11,6,4,3,2,Central,,,,,,89.76
Los Angeles - Century City,23,23,23,23,23,21,19,17,17,13,9,8,8,6,Century City,9,7,6,4,4,179.8
Los Angeles - Century Palms/Cove,23,21,21,19,17,15,13,11,11,10,8,8,5,3,Century Palms/Cove,3,3,1,1,1,68.12
Los Angeles - Chatsworth,33,30,28,27,24,21,19,20,18,14,10,8,4,3,Chatsworth,1,,,,,89.04
Los Angeles - Cheviot Hills,11,11,11,11,10,10,10,9,8,6,5,--,--,--,Cheviot Hills,,,,,,119.94
Los Angeles - Chinatown,--,--,--,--,--,--,--,--,--,--,0,0,0,0,Chinatown,,,,,,--
Los Angeles - Cloverdale/Cochran,10,10,10,10,10,10,8,5,5,--,--,--,--,--,Cloverdale/Cochran,3,3,2,1,,68.71
Los Angeles - Country Club Park,18,16,15,14,12,10,9,9,8,5,--,--,--,--,Country Club Park,,,,,,118.79
Los Angeles - Crenshaw District,13,12,9,9,9,8,7,7,5,--,--,--,--,--,Crenshaw District,2,2,,,,94.01
Los Angeles - Crestview,33,31,31,29,23,20,20,17,15,13,13,11,9,7,Crestview,9,7,7,6,5,290.29
Los Angeles - Del Rey,31,29,29,27,27,25,22,20,17,16,14,12,10,9,Del Rey,9,5,3,2,2,103.55
Los Angeles - Downtown,24,23,20,21,19,18,17,15,15,14,11,10,9,8,Downtown,7,6,3,2,1,87.25
Los Angeles - Eagle Rock,33,29,25,22,21,18,14,13,11,10,8,8,8,4,Eagle Rock,3,2,2,2,1,83.36
Los Angeles - East Hollywood,29,23,18,18,16,16,14,12,12,13,10,6,5,3,East Hollywood,2,1,1,1,1,99.02
Los Angeles - Echo Park,9,9,9,9,9,8,8,6,6,5,5,--,--,--,Echo Park,7,4,2,2,1,63.13
Los Angeles - El Sereno,28,24,22,20,18,16,12,9,4,3,3,3,1,0,El Sereno,,,,,,66.97
Los Angeles - Elysian Park,5,5,5,5,5,5,5,--,--,--,--,--,--,--,Elysian Park,,,,,,87.54
Los Angeles - Elysian Valley,8,6,--,--,--,--,--,--,--,--,--,--,--,--,Elysian Valley,,,,,,78.65
Los Angeles - Encino,45,44,41,41,39,39,35,33,32,30,29,27,26,23,Encino,21,13,12,10,10,99.62
Los Angeles - Exposition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Exposition,,,,,,0
Los Angeles - Exposition Park,40,36,35,32,28,22,17,13,8,7,4,4,4,2,Exposition Park,2,1,1,1,,89.05
Los Angeles - Faircrest Heights,--,--,--,--,--,--,--,--,--,0,0,0,0,0,Faircrest Heights,,,,,,--
Los Angeles - Figueroa Park Square,7,6,6,5,--,--,0,0,0,0,0,0,0,0,Figueroa Park Square,,,,,,80.27
Los Angeles - Florence-Firestone,39,36,33,29,28,22,20,18,14,12,7,6,6,3,Florence-Firestone,,,,,,82.2
Los Angeles - Glassell Park,49,44,39,33,30,28,22,18,16,11,8,7,7,4,Glassell Park,2,1,,,,155.04
Los Angeles - Gramercy Place,8,7,7,7,7,7,6,5,--,--,--,--,--,--,Gramercy Place,,,,,,74.32
Los Angeles - Granada Hills,41,40,36,29,27,22,21,19,14,10,9,8,8,8,Granada Hills,8,7,5,5,4,70.46
Los Angeles - Green Meadows,12,11,12,10,10,10,9,8,8,7,--,--,--,--,Green Meadows,,,,,,55.8
Los Angeles - Hancock Park,45,45,45,39,38,37,33,34,33,30,26,18,17,14,Hancock Park,10,8,7,6,5,264.1
Los Angeles - Harbor City,22,21,21,20,19,18,15,8,7,5,4,2,1,1,Harbor City,1,,,,,75.68
Los Angeles - Harbor Gateway,29,26,23,21,18,15,13,11,9,9,6,4,4,4,Harbor Gateway,3,2,1,,,66.51
Los Angeles - Harbor Pines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Harbor Pines,,,,,,0
Los Angeles - Harvard Heights,15,12,10,9,9,9,8,6,5,--,--,--,--,--,Harvard Heights,2,1,1,,,83.17
Los Angeles - Harvard Park,22,22,18,19,16,12,8,5,4,4,3,2,2,1,Harvard Park,,,,,,57.99
Los Angeles - Highland Park,27,24,22,21,19,15,11,10,9,9,9,8,6,5,Highland Park,3,2,1,,,55.8
Los Angeles - Historic Filipinotown,18,12,11,9,8,7,6,6,5,0,0,0,0,0,Historic Filipinotown,,,,,,129.78
Los Angeles - Hollywood,109,109,104,100,96,84,73,71,67,61,49,44,38,30,Hollywood,27,23,19,14,12,159.7
Los Angeles - Hollywood Hills,45,43,42,39,39,37,36,34,32,29,26,24,23,19,Hollywood Hills,17,8,8,7,5,152.88
Los Angeles - Hyde Park,16,15,14,14,14,11,10,10,8,7,6,4,2,2,Hyde Park,1,1,1,1,,56.06
Los Angeles - Jefferson Park,--,--,--,--,--,0,0,0,0,0,0,0,0,0,Jefferson Park,,,,,,--
Los Angeles - Koreatown,43,39,38,34,32,27,26,21,18,14,13,10,10,7,Koreatown,7,5,5,3,2,83.18
Los Angeles - Lafayette Square,6,6,5,5,5,--,--,--,--,--,--,--,--,--,Lafayette Square,,,,,,131.61
Los Angeles - Lake Balboa,31,30,28,26,25,20,19,16,14,11,11,8,6,3,Lake Balboa,3,2,2,2,1,73.45
Los Angeles - Lakeview Terrace,15,14,14,10,10,9,9,8,6,5,--,--,--,--,Lakeview Terrace,,,,,,114.22
Los Angeles - Leimert Park,23,21,20,18,17,15,12,10,7,--,--,--,--,--,Leimert Park,2,,,,,150.97
Los Angeles - Lincoln Heights,14,14,13,12,11,11,6,6,5,4,2,2,1,1,Lincoln Heights,1,,1,1,,42.95
Los Angeles - Little Armenia,25,22,19,19,16,12,9,--,--,--,0,0,0,0,Little Armenia,,,,,,311.53
Los Angeles - Little Bangladesh,28,26,22,18,16,14,11,9,8,5,5,4,2,2,Little Bangladesh,1,,,,,98.79
Los Angeles - Little Tokyo,--,--,--,--,--,--,--,--,--,--,--,--,0,0,Little Tokyo,,,,,,--
Los Angeles - Longwood,--,--,--,--,--,--,--,--,--,--,--,0,0,0,Longwood,,,,,,--
Los Angeles - Los Feliz,20,20,18,19,19,19,19,16,14,13,11,8,5,6,Los Feliz,5,3,2,2,1,92.56
Los Angeles - Manchester Square,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Manchester Square,,,,,,--
Los Angeles - Mandeville Canyon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Mandeville Canyon,,,,,,--
Los Angeles - Mar Vista,32,31,28,26,25,24,23,21,18,13,13,9,8,8,Mar Vista,8,6,6,6,5,75.35
Los Angeles - Marina Peninsula,8,8,8,7,6,6,6,6,6,--,--,--,--,--,Marina Peninsula,,,,,,183.49
Los Angeles - Melrose,184,168,164,147,140,129,121,113,104,100,82,71,56,49,Melrose,47,33,26,19,17,236.82
Los Angeles - Mid-city,22,21,21,22,21,17,16,14,13,11,10,9,8,8,Mid-city,,,,,,146.37
Los Angeles - Miracle Mile,18,19,18,17,17,15,13,12,12,12,10,9,8,7,Miracle Mile,13,8,7,5,4,100.08
Los Angeles - Mission Hills,14,13,12,12,12,11,8,6,6,6,6,5,5,--,Mission Hills,,,,,,58.03
Los Angeles - Mt. Washington,12,11,10,9,8,8,6,--,--,--,--,--,--,--,Mt. Washington,3,2,1,,,49.7
Los Angeles - North Hills,37,33,31,28,22,21,16,13,11,9,7,6,2,1,North Hills,1,,,,,60.09
Los Angeles - North Hollywood,108,103,98,90,91,86,67,57,45,39,34,30,26,18,North Hollywood,15,11,10,9,5,71.32
