city,"April 09, 2020","April 08, 2020","April 07, 2020","April 06, 2020","April 05, 2020","April 04, 2020","April 03, 2020","April 02, 2020","April 01, 2020","March 31, 2020","March 30, 2020","March 29, 2020","March 28, 2020","March 27, 2020",city2,"March 26, 2020","March 25, 2020","March 24, 2020","March 23, 2020","March 22, 2020",Density
Los Angeles - West Los Angeles,34,35,32,31,29,27,25,24,22,20,19,18,13,9,West Los Angeles,5,4,4,4,3,90.34
Los Angeles - West Vernon,53,50,42,33,27,26,22,17,15,13,9,8,8,6,West Vernon,6,5,4,2,2,98.8
Los Angeles - Westchester,30,28,25,25,24,23,22,18,18,17,17,17,12,8,Westchester,7,5,3,3,3,58.14
Los Angeles - Westlake,44,40,37,34,31,27,23,20,13,10,7,5,2,1,Westlake,1,1,1,1,1,74.13
Los Angeles - Westwood,33,30,29,27,27,27,27,25,26,28,26,22,17,16,Westwood,11,9,6,6,5,60.99
Los Angeles - Wholesale District,16,16,14,14,12,13,13,12,10,10,10,12,11,8,Wholesale District,6,4,1,,,44.29
Los Angeles - Wilmington,25,22,21,20,19,19,16,13,13,12,10,10,7,5,Wilmington,5,4,4,3,1,44.26
Los Angeles - Wilshire Center,38,33,30,27,23,19,17,15,12,8,8,5,4,4,Wilshire Center,2,2,1,1,,75.74
Los Angeles - Winnetka,41,39,37,35,29,25,18,15,11,10,9,9,8,3,Winnetka,5,3,2,1,1,79.17
Los Angeles - Woodland Hills,60,55,54,53,47,43,36,33,29,25,22,19,18,14,Woodland Hills,13,11,8,7,5,88.16
Unincorporated - Acton,5,--,--,--,--,--,--,--,0,0,0,0,0,0,Acton,,,,,,62.73
Unincorporated - Agua Dulce,--,--,--,--,--,0,0,0,0,0,0,0,0,0,Agua Dulce,,,,,,--
Unincorporated - Altadena,33,31,28,26,25,18,16,16,14,12,10,10,10,9,Altadena,6,5,5,5,,75.65
Unincorporated - Anaverde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anaverde,,,,,,0
Unincorporated - Angeles National Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angeles National Forest,,,,,,0
Unincorporated - Arcadia,--,0,0,0,0,0,0,0,0,0,0,0,0,0,Arcadia,6,4,4,3,2,--
Unincorporated - Athens-Westmont,29,27,25,23,22,22,17,15,13,11,7,7,7,5,Athens-Westmont,,,,,,68.33
Unincorporated - Athens Village,5,5,--,--,--,--,--,--,--,--,0,0,0,0,Athens Village,,,,,,102.1
Unincorporated - Avocado Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Avocado Heights,,,,,,0
Unincorporated - Azusa,--,--,--,--,--,--,--,--,0,0,0,0,0,0,Azusa,1,,,,,--
Unincorporated - Bandini Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bandini Islands,,,,,,
Unincorporated - Bassett,--,--,--,--,--,0,0,0,0,0,0,0,0,0,Bassett,,,,,,--
Unincorporated - Bouquet Canyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bouquet Canyon,,,,,,0
Unincorporated - Bradbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bradbury,,,,,,0
Unincorporated - Canyon Country,12,11,9,8,8,7,5,--,--,--,--,--,--,--,Canyon Country,1,1,1,,,155.28
Unincorporated - Castaic,7,6,6,6,5,5,4,4,3,3,3,4,4,3,Castaic,2,2,2,1,1,25.74
Unincorporated - Cerritos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cerritos,2,2,2,2,2,0
Unincorporated - Charter Oak,0,0,0,0,0,0,0,0,0,0,0,0,0,,Charter Oak,,,,,,
Unincorporated - Claremont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Claremont,1,1,1,,,0
Unincorporated - Covina,12,12,12,12,10,9,6,6,--,--,--,--,--,--,Covina,4,3,3,1,1,71.35
Unincorporated - Covina (Charter Oak),5,5,5,5,--,--,--,--,--,0,0,0,0,0,Covina (Charter Oak),,,,,,38.04
Unincorporated - Del Aire,5,5,5,5,--,--,--,--,--,--,--,0,0,0,Del Aire,,,,,,113.82
Unincorporated - Del Rey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Del Rey,9,5,3,2,2,0
Unincorporated - Del Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Del Sur,,,,,,0
Unincorporated - Desert View Highlands,--,--,--,--,0,0,0,0,0,0,0,0,0,0,Desert View Highlands,,,,,,--
Unincorporated - Duarte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Duarte,2,1,1,1,,0
Unincorporated - East Covina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Covina,,,,,,0
Unincorporated - East La Mirada,--,--,--,--,--,--,--,--,--,--,0,0,0,0,East La Mirada,,,,,,--
Unincorporated - East Lancaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Lancaster,,,,,,0
Unincorporated - East Los Angeles,69,64,56,51,44,40,28,23,16,14,11,9,8,6,East Los Angeles,4,3,3,2,2,55.08
Unincorporated - East Pasadena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Pasadena,,,,,,0
Unincorporated - East Rancho Dominguez,8,8,7,6,6,--,--,--,--,0,0,0,0,0,East Rancho Dominguez,,,,,,52.26
Unincorporated - East Whittier,--,--,--,--,--,--,--,--,--,--,--,--,--,--,East Whittier,,,,,,--
Unincorporated - El Camino Village,--,--,--,--,--,--,--,--,--,0,0,0,0,0,El Camino Village,,,,,,--
Unincorporated - El Monte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,El Monte,,,,,,0
Unincorporated - Elizabeth Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elizabeth Lake,,,,,,0
Unincorporated - Florence-Firestone,49,42,39,36,35,29,26,23,19,0,0,0,0,0,Florence-Firestone,,,,,,75.73
Unincorporated - Franklin Canyon,0,0,0,0,0,0,0,0,0,0,0,0,0,,Franklin Canyon,,,,,,
Unincorporated - Glendora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glendora,2,2,1,1,1,0
Unincorporated - Hacienda Heights,25,23,22,19,17,13,12,12,8,5,2,2,2,2,Hacienda Heights,2,,,,,44.7
Unincorporated - Harbor Gateway,0,0,0,0,0,0,0,0,0,0,0,0,0,,Harbor Gateway,3,2,1,,,
Unincorporated - Hawthorne,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Hawthorne,9,8,6,3,2,--
Unincorporated - Hi Vista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hi Vista,,,,,,0
Unincorporated - Kagel/Lopez Canyons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kagel/Lopez Canyons,,,,,,0
Unincorporated - La Crescenta-Montrose,10,10,7,6,5,--,--,--,--,0,0,0,0,0,La Crescenta-Montrose,,,,,,50.5
Unincorporated - La Habra Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,--,La Habra Heights,,,,,,0
Unincorporated - La Rambla,--,--,--,--,--,--,--,--,--,--,--,--,--,--,La Rambla,,,,,,--
Unincorporated - La Verne,--,--,--,--,--,--,--,--,--,--,--,--,--,--,La Verne,2,2,2,2,2,--
Unincorporated - Ladera Heights,12,12,12,10,10,8,7,6,5,5,--,--,0,0,Ladera Heights,,,,,,169.71
Unincorporated - Lake Hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake Hughes,,,,,,0
Unincorporated - Lake Los Angeles,--,--,--,--,--,--,--,--,0,0,0,0,0,0,Lake Los Angeles,,,,,,--
Unincorporated - Lake Manor,--,--,--,--,--,0,0,0,0,0,0,0,0,0,Lake Manor,,,,,,--
Unincorporated - Lakewood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lakewood,7,4,3,1,1,0
Unincorporated - Lennox,17,17,16,16,15,12,10,9,8,8,7,5,--,--,Lennox,,,,,,75.41
Unincorporated - Leona Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leona Valley,,,,,,0
Unincorporated - Littlerock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Littlerock,,,,,,0
Unincorporated - Littlerock/Juniper Hills,--,0,0,0,0,0,0,0,0,0,0,0,0,0,Littlerock/Juniper Hills,,,,,,--
Unincorporated - Littlerock/Pearblossom,--,--,--,--,--,0,0,0,0,0,0,0,0,0,Littlerock/Pearblossom,,,,,,--
Unincorporated - Llano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Llano,,,,,,0
Unincorporated - Long Beach,287,256,230,213,198,171,153,139,133,115,99,88,75,54,Long Beach,41,28,21,17,15,61.14
Unincorporated - Lynwood,0,0,0,0,0,0,0,0,0,0,0,0,0,,Lynwood,6,3,2,2,2,
Unincorporated - Marina del Rey,5,5,5,5,5,5,5,5,5,5,--,--,--,--,Marina del Rey,,,,,,53.13
Unincorporated - Miracle Mile,0,0,0,0,0,0,0,0,0,0,0,0,0,,Miracle Mile,13,8,7,5,4,
Unincorporated - Monrovia,5,5,5,5,--,--,--,--,--,--,--,--,--,--,Monrovia,2,,,,,128.83
Unincorporated - Newhall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newhall,,,,,,0
Unincorporated - North Lancaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Lancaster,,,,,,0
Unincorporated - North Whittier,--,--,--,--,--,--,--,--,--,--,--,0,0,0,North Whittier,,,,,,--
Unincorporated - Northeast San Gabriel,5,5,5,--,--,--,--,--,--,0,0,0,0,0,Northeast San Gabriel,,,,,,20.8
Unincorporated - Palmdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Palmdale,2,2,2,1,,0
Unincorporated - Palos Verdes Peninsula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Palos Verdes Peninsula,,,,,,0
Unincorporated - Pearblossom/Llano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pearblossom/Llano,,,,,,0
Unincorporated - Pellissier Village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pellissier Village,,,,,,0
Unincorporated - Placerita Canyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Placerita Canyon,,,,,,0
Unincorporated - Pomona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pomona,3,1,,,,0
Unincorporated - Quartz Hill,--,--,--,--,--,--,--,--,--,--,--,--,0,0,Quartz Hill,,,,,,--
Unincorporated - Rancho Dominguez,5,--,--,--,--,--,--,--,--,--,--,--,0,0,Rancho Dominguez,,,,,,187.9
Unincorporated - Roosevelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt,,,,,,0
Unincorporated - Rosewood,--,--,--,--,--,--,--,--,--,0,0,0,0,0,Rosewood,,,,,,--
Unincorporated - Rosewood/East Gardena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rosewood/East Gardena,,,,,,0
Unincorporated - Rosewood/West Rancho Dominguez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rosewood/West Rancho Dominguez,,,,,,0
Unincorporated - Rowland Heights,12,10,10,8,8,8,7,6,5,3,3,3,1,1,Rowland Heights,,,,,,23.52
Unincorporated - San Clemente Island,0,0,0,0,0,0,0,0,0,0,0,0,0,,San Clemente Island,,,,,,
Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0,0,0,0,0,0,0,0,0,0,0,0,,San Francisquito Canyon/Bouquet Canyon,,,,,,0
Unincorporated - San Jose Hills,--,0,--,0,0,0,0,0,0,0,0,0,0,0,San Jose Hills,,,,,,--
Unincorporated - San Pasqual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Pasqual,,,,,,0
Unincorporated - Sand Canyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sand Canyon,,,,,,0
Unincorporated - Santa Catalina Island,--,--,--,--,--,--,0,0,0,0,0,0,0,0,Santa Catalina Island,,,,,,--
Unincorporated - Santa Monica Mountains,5,5,5,5,5,--,--,--,--,0,0,0,0,0,Santa Monica Mountains,4,3,2,2,2,26.85
Unincorporated - Saugus,--,--,--,--,--,--,--,--,0,0,0,0,0,0,Saugus,,,,,,--
Unincorporated - Saugus/Canyon Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saugus/Canyon Country,,,,,,0
Unincorporated - South Antelope Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South Antelope Valley,,,,,,0
Unincorporated - South Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,,South Edwards,,,,,,
Unincorporated - South El Monte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South El Monte,4,3,1,1,1,0
Unincorporated - South San Gabriel,7,6,6,6,5,5,5,5,5,0,0,0,0,0,South San Gabriel,,,,,,79.11
Unincorporated - South Whittier,25,22,18,17,15,13,11,9,8,7,5,5,5,3,South Whittier,4,3,2,2,1,42.21
Unincorporated - Southeast Antelope Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southeast Antelope Valley,,,,,,0
Unincorporated - Stevenson Ranch,10,10,8,8,7,7,6,5,--,--,--,--,--,--,Stevenson Ranch,3,2,2,2,1,47.7
